"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"d:\Coding\Learn\Java\AWT\FrameTest.java", "Java", 13, 0, 0, 3, 16
"d:\Coding\Learn\Java\AWT\ScrollPaneTest.java", "Java", 12, 0, 0, 2, 14
"d:\Coding\Learn\Java\BeerSong.java", "Java", 21, 0, 0, 6, 27
"d:\Coding\Learn\Java\Gomoku.java", "Java", 109, 0, 12, 12, 133
"d:\Coding\Learn\Java\Solution.java", "Java", 19, 0, 0, 4, 23
"d:\Coding\Learn\Java\Test4.java", "Java", 10, 0, 0, 1, 11
"d:\Coding\Learn\Java\basic_syntax\ArrayLearn\ArrayDemo.java", "Java", 35, 0, 8, 5, 48
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\AutoTypeConversionDemo1.java", "Java", 26, 0, 3, 5, 34
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\Operator.java", "Java", 27, 0, 16, 8, 51
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\ScannerDemo.java", "Java", 12, 0, 0, 2, 14
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\TypeConversionDemo1.java", "Java", 16, 0, 4, 6, 26
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\TypeDemo.java", "Java", 24, 0, 0, 7, 31
"d:\Coding\Learn\Java\basic_syntax\FlowControl\IfDemo.java", "Java", 14, 0, 8, 5, 27
"d:\Coding\Learn\Java\basic_syntax\FlowControl\Loop.java", "Java", 20, 0, 9, 4, 33
"d:\Coding\Learn\Java\basic_syntax\FlowControl\RandomNum2.java", "Java", 22, 0, 0, 2, 24
"d:\Coding\Learn\Java\basic_syntax\FlowControl\RanomNum.java", "Java", 10, 0, 1, 2, 13
"d:\Coding\Learn\Java\basic_syntax\FlowControl\SwitchCase.java", "Java", 13, 0, 10, 5, 28
"d:\Coding\Learn\Java\basic_syntax\Function\FunctionDemo.java", "Java", 81, 0, 1, 10, 92
"d:\Coding\Learn\Java\basic_syntax\Hello.java", "Java", 10, 0, 0, 1, 11
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\CopyArray.java", "Java", 14, 0, 0, 3, 17
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\DoubleColorBall.java", "Java", 82, 0, 13, 8, 103
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\IsPrime.java", "Java", 21, 0, 0, 1, 22
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\JudgesScoring.java", "Java", 22, 0, 0, 3, 25
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\NumberEncryption.java", "Java", 13, 0, 56, 4, 73
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\PhursePlaneTickets.java", "Java", 26, 0, 0, 7, 33
"d:\Coding\Learn\Java\basic_syntax\ProgramCase\VerificationCcode.java", "Java", 24, 0, 0, 4, 28
"d:\Coding\Learn\Java\basic_syntax\Test.java", "Java", 45, 0, 0, 12, 57
"d:\Coding\Learn\Java\case.md", "Markdown", 0, 246, 0, 53, 299
"d:\Coding\Learn\Java\examples\CountLinesOfCode.java", "Java", 33, 0, 0, 6, 39
"d:\Coding\Learn\Java\examples\CountingOccurrences.java", "Java", 19, 0, 31, 3, 53
"d:\Coding\Learn\Java\examples\DownloadPicFromURL.java", "Java", 38, 0, 3, 6, 47
"d:\Coding\Learn\Java\examples\DownloadPicFromURL_.java", "Java", 36, 0, 0, 4, 40
"d:\Coding\Learn\Java\examples\LogisticsSystem.java", "Java", 83, 0, 0, 13, 96
"d:\Coding\Learn\Java\examples\SimulatedPlayingCard.java", "Java", 47, 0, 16, 4, 67
"d:\Coding\Learn\Java\examples\SimulatedWeibo.java", "Java", 75, 0, 0, 5, 80
"d:\Coding\Learn\Java\examples\TArraylist.java", "Java", 39, 0, 0, 3, 42
"d:\Coding\Learn\Java\examples\USB.java", "Java", 44, 0, 0, 3, 47
"d:\Coding\Learn\Java\examples\WrapperTest.java", "Java", 17, 0, 8, 2, 27
"d:\Coding\Learn\Java\java_advanced\API.java", "Java", 24, 0, 4, 7, 35
"d:\Coding\Learn\Java\java_advanced\APILearn.java", "Java", 30, 0, 7, 24, 61
"d:\Coding\Learn\Java\java_advanced\ATMsystem.java", "Java", 137, 0, 0, 28, 165
"d:\Coding\Learn\Java\java_advanced\ArraryTest2.java", "Java", 31, 0, 1, 3, 35
"d:\Coding\Learn\Java\java_advanced\ArraysTest.java", "Java", 9, 0, 13, 3, 25
"d:\Coding\Learn\Java\java_advanced\BubbleSort.java", "Java", 19, 0, 0, 3, 22
"d:\Coding\Learn\Java\java_advanced\CharacterDemo.java", "Java", 13, 0, 0, 3, 16
"d:\Coding\Learn\Java\java_advanced\ClassDemo.java", "Java", 27, 0, 2, 7, 36
"d:\Coding\Learn\Java\java_advanced\CollectionTest.java", "Java", 20, 0, 21, 2, 43
"d:\Coding\Learn\Java\java_advanced\Enum.java", "Java", 23, 0, 3, 5, 31
"d:\Coding\Learn\Java\java_advanced\ExceptionTest.java", "Java", 23, 0, 0, 3, 26
"d:\Coding\Learn\Java\java_advanced\Extend.java", "Java", 27, 0, 10, 0, 37
"d:\Coding\Learn\Java\java_advanced\FilmSystem.java", "Java", 36, 0, 0, 9, 45
"d:\Coding\Learn\Java\java_advanced\FoodDeliverySystem.java", "Java", 71, 0, 0, 19, 90
"d:\Coding\Learn\Java\java_advanced\ForEach.java", "Java", 13, 0, 0, 2, 15
"d:\Coding\Learn\Java\java_advanced\Generic.java", "Java", 16, 0, 1, 0, 17
"d:\Coding\Learn\Java\java_advanced\GenericFunction.java", "Java", 8, 0, 0, 1, 9
"d:\Coding\Learn\Java\java_advanced\GenericInterface.java", "Java", 18, 0, 0, 8, 26
"d:\Coding\Learn\Java\java_advanced\LambdaExpression.java", "Java", 17, 0, 0, 1, 18
"d:\Coding\Learn\Java\java_advanced\LoginSystem.java", "Java", 46, 0, 1, 13, 60
"d:\Coding\Learn\Java\java_advanced\ObjectOriented.java", "Java", 25, 0, 9, 1, 35
"d:\Coding\Learn\Java\java_advanced\Polymorphism.java", "Java", 4, 0, 44, 2, 50
"d:\Coding\Learn\Java\java_advanced\SearchingAlgorithm.java", "Java", 21, 0, 0, 3, 24
"d:\Coding\Learn\Java\java_advanced\SelectionSort.java", "Java", 19, 0, 0, 4, 23
"d:\Coding\Learn\Java\java_advanced\SetNesting.java", "Java", 13, 0, 0, 2, 15
"d:\Coding\Learn\Java\java_advanced\Static.java", "Java", 13, 0, 6, 2, 21
"d:\Coding\Learn\Java\java_advanced\StreamDemo.java", "Java", 18, 0, 13, 2, 33
"d:\Coding\Learn\Java\java_advanced\UserLogin.java", "Java", 42, 0, 0, 11, 53
"d:\Coding\Learn\Java\thinking_in_java\polymorphism\Cycles.java", "Java", 27, 0, 0, 5, 32
"d:\Coding\Learn\Java\thinking_in_java\polymorphism\Note.java", "Java", 27, 0, 0, 5, 32
"d:\Coding\Learn\Main.java", "Java", 13, 0, 3, 5, 21
"d:\Coding\Learn\README.md", "Markdown", 0, 1, 0, 0, 1
"Total", "-", 2002, 247, 337, 417, 3003
