"filename", "language", "Markdown", "HTML", "Java", "Java Properties", "comment", "blank", "total"
"d:\Coding\Learn\Java\Main.java", "Java", 0, 0, 13, 0, 3, 5, 21
"d:\Coding\Learn\Java\Solution.java", "Java", 0, 0, 19, 0, 0, 4, 23
"d:\Coding\Learn\Java\basic_syntax\ArrayLearn\ArrayDemo.java", "Java", 0, 0, 35, 0, 8, 5, 48
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\AutoTypeConversionDemo1.java", "Java", 0, 0, 26, 0, 3, 5, 34
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\Operator.java", "Java", 0, 0, 27, 0, 16, 8, 51
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\ScannerDemo.java", "Java", 0, 0, 12, 0, 0, 2, 14
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\TypeConversionDemo1.java", "Java", 0, 0, 16, 0, 4, 6, 26
"d:\Coding\Learn\Java\basic_syntax\DataTypesAndOperators\TypeDemo.java", "Java", 0, 0, 24, 0, 0, 7, 31
"d:\Coding\Learn\Java\basic_syntax\FlowControl\IfDemo.java", "Java", 0, 0, 14, 0, 8, 5, 27
"d:\Coding\Learn\Java\basic_syntax\FlowControl\Loop.java", "Java", 0, 0, 20, 0, 9, 4, 33
"d:\Coding\Learn\Java\basic_syntax\FlowControl\RandomNum2.java", "Java", 0, 0, 22, 0, 0, 2, 24
"d:\Coding\Learn\Java\basic_syntax\FlowControl\RanomNum.java", "Java", 0, 0, 10, 0, 1, 2, 13
"d:\Coding\Learn\Java\basic_syntax\FlowControl\SwitchCase.java", "Java", 0, 0, 13, 0, 10, 5, 28
"d:\Coding\Learn\Java\basic_syntax\Function\FunctionDemo.java", "Java", 0, 0, 81, 0, 1, 10, 92
"d:\Coding\Learn\Java\basic_syntax\Hello.java", "Java", 0, 0, 10, 0, 0, 1, 11
