"filename", "language", "C", "C++", "Java", "comment", "blank", "total"
"d:\Coding\Learn\C\CourseWork\calCarSpeed.c", "C", 20, 0, 0, 0, 0, 20
"d:\Coding\Learn\C\CourseWork\calFractions.c", "C", 2, 0, 0, 0, 0, 2
"d:\Coding\Learn\C\CourseWork\formatInfo.c", "C", 18, 0, 0, 0, 0, 18
"d:\Coding\Learn\C\PTA\6-9.c", "C", 33, 0, 0, 6, 4, 43
"d:\Coding\Learn\C\darkhouse\examples\a.c", "C", 33, 0, 0, 0, 6, 39
"d:\Coding\Learn\C\darkhouse\examples\b.c", "C", 18, 0, 0, 0, 0, 18
"d:\Coding\Learn\C\darkhouse\examples\delStr.c", "C", 23, 0, 0, 0, 0, 23
"d:\Coding\Learn\C\darkhouse\examples\nameLists.c", "C", 30, 0, 0, 0, 1, 31
"d:\Coding\Learn\C\darkhouse\examples\replaceStr.c", "C", 20, 0, 0, 5, 1, 26
"d:\Coding\Learn\C\include\SeqList.c", "C", 76, 0, 0, 3, 8, 87
"d:\Coding\Learn\C\include\SeqList.h", "C++", 0, 19, 0, 0, 4, 23
"d:\Coding\Learn\C\luogu\P1003.java", "Java", 0, 0, 24, 0, 1, 25
"d:\Coding\Learn\C\others\functionPointer.c", "C", 40, 0, 0, 11, 5, 56
"d:\Coding\Learn\C\others\pointerInArray.c", "C", 0, 0, 0, 5, 0, 5
"d:\Coding\Learn\C\others\replaceStr.c", "C", 0, 0, 0, 0, -1, -1
"d:\Coding\Learn\C\others\structPointer.c", "C", 15, 0, 0, 0, 1, 16
"d:\Coding\Learn\C\test.c", "C", 12, 0, 0, 0, 1, 13
"d:\Coding\Learn\C\test.cpp", "C++", 0, 17, 0, 0, 1, 18
"d:\Coding\Learn\Java\Main.java", "Java", 0, 0, 12, -3, -5, 4
"Total", "-", 340, 36, 36, 27, 27, 466
