"filename", "language", "Java", "Markdown", "C++", "C", "Makefile", "XML", "comment", "blank", "total"
"d:\Coding\Learn\C&CPP\CodeForces\Good Bye 2023\B.cpp", "C++", 0, 0, 28, 0, 0, 0, 10, 4, 42
"d:\Coding\Learn\C&CPP\CodeForces\Round159\A.cpp", "C++", 0, 0, 17, 0, 0, 0, 1, 0, 18
"d:\Coding\Learn\C&CPP\CodeForces\Round159\C.cpp", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\CodeForces\Round913\A.cpp", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\CodeForces\Round913\B.cpp", "C++", 0, 0, 40, 0, 0, 0, 0, 2, 42
"d:\Coding\Learn\C&CPP\CodeForces\Round913\C.cpp", "C++", 0, 0, 47, 0, 0, 0, 0, 0, 47
"d:\Coding\Learn\C&CPP\CourseWork\GraphHostipal.cpp", "C++", 0, 0, 89, 0, 0, 0, 8, 19, 116
"d:\Coding\Learn\C&CPP\CourseWork\charPointer.cpp", "C++", 0, 0, 23, 0, 0, 0, 0, 3, 26
"d:\Coding\Learn\C&CPP\CourseWork\count1.cpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 21
"d:\Coding\Learn\C&CPP\CourseWork\count2.cpp", "C++", 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Coding\Learn\C&CPP\CourseWork\tree.cpp", "C++", 0, 0, 44, 0, 0, 0, 0, 6, 50
"d:\Coding\Learn\C&CPP\DataStructures\Graph\Dijkstra.cpp", "C++", 0, 0, 43, 0, 0, 0, 23, 0, 66
"d:\Coding\Learn\C&CPP\DataStructures\Tree\DFS\subset.cpp", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\DataStructures\Tree\tree.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 11
"d:\Coding\Learn\C&CPP\IntroductionToTheAlgorithmContestClassic\charpter7\print_permutation.cpp", "C++", 0, 0, 44, 0, 0, 0, 1, 0, 45
"d:\Coding\Learn\C&CPP\NCUOJ\P1539A.cpp", "C++", 0, 0, -25, 0, 0, 0, 0, -1, -26
"d:\Coding\Learn\C&CPP\NCUOJ\P2023051701.cpp", "C++", 0, 0, -23, 0, 0, 0, 0, 0, -23
"d:\Coding\Learn\C&CPP\NCUOJ\P4.cpp", "C++", 0, 0, -27, 0, 0, 0, 0, 0, -27
"d:\Coding\Learn\C&CPP\PTA\1107-1.cpp", "C++", 0, 0, -27, 0, 0, 0, 0, -1, -28
"d:\Coding\Learn\C&CPP\PTA\1107-2.cpp", "C++", 0, 0, -30, 0, 0, 0, 0, -5, -35
"d:\Coding\Learn\C&CPP\PTA\6-3.c", "C", 0, 0, 0, -27, 0, 0, 0, -4, -31
"d:\Coding\Learn\C&CPP\PTA\6-9.c", "C", 0, 0, 0, -33, 0, 0, -6, -4, -43
"d:\Coding\Learn\C&CPP\PTA\7-1.cpp", "C++", 0, 0, -50, 0, 0, 0, -14, -1, -65
"d:\Coding\Learn\C&CPP\PTA\7-2.cpp", "C++", 0, 0, -24, 0, 0, 0, -8, 0, -32
"d:\Coding\Learn\C&CPP\Project\md5-master\.idea\md5-master.iml", "XML", 0, 0, 0, 0, 0, -2, 0, 0, -2
"d:\Coding\Learn\C&CPP\Project\md5-master\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, -8, 0, 0, -8
"d:\Coding\Learn\C&CPP\Project\md5-master\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, -6, 0, 0, -6
"d:\Coding\Learn\C&CPP\Project\md5-master\README.md", "Markdown", 0, -7, 0, 0, 0, 0, 0, -1, -8
"d:\Coding\Learn\C&CPP\Project\md5-master\include\md5.c", "C", 0, 0, 0, -175, 0, 0, 0, -16, -191
"d:\Coding\Learn\C&CPP\Project\md5-master\include\md5.h", "C++", 0, 0, -12, 0, 0, 0, 0, -5, -17
"d:\Coding\Learn\C&CPP\Project\md5-master\main.c", "C", 0, 0, 0, -53, 0, 0, 0, -15, -68
"d:\Coding\Learn\C&CPP\Project\md5-master\md5.c", "C", 0, 0, 0, -175, 0, 0, 0, -16, -191
"d:\Coding\Learn\C&CPP\Project\md5-master\md5.h", "C++", 0, 0, -12, 0, 0, 0, 0, -5, -17
"d:\Coding\Learn\C&CPP\a.cpp", "C++", 0, 0, -29, 0, 0, 0, -2, 0, -31
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\b.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\c.cpp", "C++", 0, 0, 26, 0, 0, 0, 0, 2, 28
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\d.cpp", "C++", 0, 0, 16, 0, 0, 0, 28, 0, 44
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\a.cpp", "C++", 0, 0, 37, 0, 0, 0, 9, 1, 47
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\a1.cpp", "C++", 0, 0, 37, 0, 0, 0, 9, 1, 47
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\d.cpp", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\f.cpp", "C++", 0, 0, 63, 0, 0, 0, 6, 2, 71
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\g.cpp", "C++", 0, 0, 29, 0, 0, 0, 10, 1, 40
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\h.cpp", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 24
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\k.cpp", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\test.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1001.cpp", "C++", 0, 0, 32, 0, 0, 0, 0, 0, 32
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1021.cpp", "C++", 0, 0, 64, 0, 0, 0, 0, 0, 64
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P11.cpp", "C++", 0, 0, 36, 0, 0, 0, 0, 3, 39
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P11.java", "Java", 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1539A.cpp", "C++", 0, 0, 25, 0, 0, 0, 0, 1, 26
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P2021102101.cpp", "C++", 0, 0, 55, 0, 0, 0, 0, 0, 55
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P2023051701.cpp", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P255.cpp", "C++", 0, 0, 98, 0, 0, 0, 1, 1, 100
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P4.cpp", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\c.java", "Java", 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Coding\Learn\C&CPP\contest\nowcoder\20231117\q1.cpp", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\contest\nowcoder\20231124\p2.cpp", "C++", 0, 0, 16, 0, 0, 0, 22, 1, 39
"d:\Coding\Learn\C&CPP\contest\nowcoder\20231124\q1.cpp", "C++", 0, 0, 19, 0, 0, 0, 15, 0, 34
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC16422.cpp", "C++", 0, 0, 38, 0, 0, 0, 0, 0, 38
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC16538.cpp", "C++", 0, 0, 15, 0, 0, 0, 14, 0, 29
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC16749.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC50562.cpp", "C++", 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\Coding\Learn\C&CPP\contest\nowcoder\NewbieMonthlyContest\20231201\A.cpp", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\contest\nowcoder\NewbieMonthlyContest\20231201\B.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Coding\Learn\C&CPP\contest\nowcoder\[USACO 2007 Feb S]The Cow Lexicon.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Coding\Learn\C&CPP\luogu\202311\week4\NP2392.cpp", "C++", 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\Coding\Learn\C&CPP\luogu\202312\week1\BigIntegerAdd.cpp", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\luogu\202312\week1\BigIntegerDevide.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Coding\Learn\C&CPP\luogu\202312\week1\BigIntegerMultiply.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 2, 32
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1009.cpp", "C++", 0, 0, 62, 0, 0, 0, 0, 0, 62
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1029.cpp", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1106.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1135.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1178.cpp", "C++", 0, 0, 36, 0, 0, 0, 2, 1, 39
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1226.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 29
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1440.cpp", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1443.cpp", "C++", 0, 0, 34, 0, 0, 0, 0, 0, 34
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P1591.cpp", "C++", 0, 0, 43, 0, 0, 0, 0, 2, 45
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P4715.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 30
"d:\Coding\Learn\C&CPP\luogu\202312\week1\P4942.cpp", "C++", 0, 0, 34, 0, 0, 0, 18, 1, 53
"d:\Coding\Learn\C&CPP\luogu\202312\week1\UVA11059.cpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 21
"d:\Coding\Learn\C&CPP\luogu\202312\week2\P1115.cpp", "C++", 0, 0, 14, 0, 0, 0, 54, 15, 83
"d:\Coding\Learn\C&CPP\luogu\202312\week2\P2842.cpp", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\Coding\Learn\C&CPP\luogu\202312\week3\B3643.cpp", "C++", 0, 0, 29, 0, 0, 0, 10, 0, 39
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P1030.cpp", "C++", 0, 0, 19, 0, 0, 0, 3, 0, 22
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P1305.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 29
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P1496.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P1551.cpp", "C++", 0, 0, 32, 0, 0, 0, 6, 0, 38
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P1827.cpp", "C++", 0, 0, 19, 0, 0, 0, 3, 0, 22
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P1828.cpp", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P1917.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 22
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P2367.cpp", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P3370.cpp", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 18
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P3397.cpp", "C++", 0, 0, 21, 0, 0, 0, 22, 0, 43
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P3916.cpp", "C++", 0, 0, 28, 0, 0, 0, 28, 0, 56
"d:\Coding\Learn\C&CPP\luogu\202312\week3\P4913.cpp", "C++", 0, 0, 43, 0, 0, 0, 3, 0, 46
