"filename", "language", "Java", "Markdown", "HTML", "C++", "C", "Makefile", "XML", "Java Properties", "CSS", "comment", "blank", "total"
"d:\Coding\Learn\C&CPP\CodeForces\Good Bye 2023\B.cpp", "C++", 0, 0, 0, 28, 0, 0, 0, 0, 0, 10, 4, 42
"d:\Coding\Learn\C&CPP\CodeForces\Round159\A.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 0, 18
"d:\Coding\Learn\C&CPP\CodeForces\Round159\C.cpp", "C++", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26
"d:\Coding\Learn\C&CPP\CodeForces\Round913\A.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\CodeForces\Round913\B.cpp", "C++", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"d:\Coding\Learn\C&CPP\CodeForces\Round913\C.cpp", "C++", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 47
"d:\Coding\Learn\C&CPP\IntroductionToTheAlgorithmContestClassic\charpter7\print_permutation.cpp", "C++", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 0, 45
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\b.cpp", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\c.cpp", "C++", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\d.cpp", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 28, 0, 44
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\a.cpp", "C++", 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 1, 47
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\a1.cpp", "C++", 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 1, 47
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\d.cpp", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\f.cpp", "C++", 0, 0, 0, 63, 0, 0, 0, 0, 0, 6, 2, 71
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\g.cpp", "C++", 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 1, 40
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\h.cpp", "C++", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 24
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\k.cpp", "C++", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\test.cpp", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1001.cpp", "C++", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 32
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1021.cpp", "C++", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 64
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P11.cpp", "C++", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P11.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1539A.cpp", "C++", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P2021102101.cpp", "C++", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 55
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P2023051701.cpp", "C++", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P255.cpp", "C++", 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 1, 100
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P4.cpp", "C++", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 27
"d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\c.java", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Coding\Learn\C&CPP\contest\nowcoder\20231117\q1.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\contest\nowcoder\20231124\p2.cpp", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 22, 1, 39
"d:\Coding\Learn\C&CPP\contest\nowcoder\20231124\q1.cpp", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 0, 15, 0, 34
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC16422.cpp", "C++", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC16538.cpp", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 0, 14, 0, 29
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC16749.cpp", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Coding\Learn\C&CPP\contest\nowcoder\NC50562.cpp", "C++", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\Coding\Learn\C&CPP\contest\nowcoder\NewbieMonthlyContest\20231201\A.cpp", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19
"d:\Coding\Learn\C&CPP\contest\nowcoder\NewbieMonthlyContest\20231201\B.cpp", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Coding\Learn\C&CPP\contest\nowcoder\[USACO 2007 Feb S]The Cow Lexicon.cpp", "C++", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Coding\Learn\C&CPP\include\LinkList.c", "C", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 8, 97
"d:\Coding\Learn\C&CPP\include\LinkList.h", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Coding\Learn\C&CPP\include\SeqList.c", "C", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 7, 91
"d:\Coding\Learn\C&CPP\include\SeqList.h", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"d:\Coding\Learn\C&CPP\include\SqStack.c", "C", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 5, 53
"d:\Coding\Learn\C&CPP\include\SqStack.h", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Coding\Learn\C&CPP\include\Sqqueue.c", "C", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 34
"d:\Coding\Learn\C&CPP\include\Sqqueue.h", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Coding\Learn\C&CPP\luogu\2023\202310\1009.cpp", "C++", 0, 0, 0, 12, 0, 0, 0, 0, 0, 9, 0, 21
"d:\Coding\Learn\C&CPP\luogu\2023\202310\1423.cpp", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Coding\Learn\C&CPP\luogu\2023\202310\2141.cpp", "C++", 0, 0, 0, 26, 0, 0, 0, 0, 0, 9, 0, 35
"d:\Coding\Learn\C&CPP\luogu\2023\202310\5722.cpp", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Coding\Learn\C&CPP\luogu\2023\202310\5723.cpp", "C++", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1003.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1003.java", "Java", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1014.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1075.cpp", "C++", 0, 0, 0, 12, 0, 0, 0, 0, 0, 22, 0, 34
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1102.cpp", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 0, 45, 3, 67
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1102.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 37, 2, 50
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1208.cpp", "C++", 0, 0, 0, 23, 0, 0, 0, 0, 0, 43, 3, 69
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1420.cpp", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1427.cpp", "C++", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P1720.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P2141.cpp", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P2240.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 1, 37
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P2669.cpp", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P2695.cpp", "C++", 0, 0, 0, 32, 0, 0, 0, 0, 0, 16, 8, 56
"d:\Coding\Learn\C&CPP\luogu\2023\202310\P3613.cpp", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
