Date : 2024-03-31 23:00:37
Directory : d:\Coding\Learn
Total : 679 files,  19721 codes, 3941 comments, 1194 blanks, all 24856 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| C++             |        504 |     14,575 |      3,328 |        434 |     18,337 |
| Java            |        102 |      2,806 |        434 |        480 |      3,720 |
| C               |         52 |      1,550 |         63 |        176 |      1,789 |
| Markdown        |          8 |        559 |          0 |         80 |        639 |
| XML             |          5 |        121 |          0 |          0 |        121 |
| HTML            |          3 |         53 |          0 |          3 |         56 |
| Makefile        |          3 |         36 |        114 |         20 |        170 |
| CSS             |          1 |         18 |          0 |          0 |         18 |
| Java Properties |          1 |          3 |          2 |          1 |          6 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        679 |     19,721 |      3,941 |      1,194 |     24,856 |
| . (Files)                                                                                      |          3 |         30 |          0 |          2 |         32 |
| C&CPP                                                                                          |        547 |     15,505 |      3,442 |        618 |     19,565 |
| C&CPP (Files)                                                                                  |          5 |        309 |          0 |          3 |        312 |
| C&CPP\CodeForces                                                                               |          6 |        175 |         11 |          6 |        192 |
| C&CPP\CodeForces\Good Bye 2023                                                                 |          1 |         28 |         10 |          4 |         42 |
| C&CPP\CodeForces\Round159                                                                      |          2 |         43 |          1 |          0 |         44 |
| C&CPP\CodeForces\Round913                                                                      |          3 |        104 |          0 |          2 |        106 |
| C&CPP\IntroductionToTheAlgorithmContestClassic                                                 |          1 |         44 |          1 |          0 |         45 |
| C&CPP\IntroductionToTheAlgorithmContestClassic\charpter7                                       |          1 |         44 |          1 |          0 |         45 |
| C&CPP\contest                                                                                  |         33 |        881 |        114 |         25 |      1,020 |
| C&CPP\contest\NCUOJ                                                                            |         23 |        681 |         63 |         19 |        763 |
| C&CPP\contest\NCUOJ\20231210                                                                   |          4 |         65 |         28 |          3 |         96 |
| C&CPP\contest\NCUOJ\20231217                                                                   |          9 |        236 |         34 |          6 |        276 |
| C&CPP\contest\NCUOJ\Nothing                                                                    |         10 |        380 |          1 |         10 |        391 |
| C&CPP\contest\nowcoder                                                                         |         10 |        200 |         51 |          6 |        257 |
| C&CPP\contest\nowcoder (Files)                                                                 |          5 |        107 |         14 |          4 |        125 |
| C&CPP\contest\nowcoder\20231117                                                                |          1 |         17 |          0 |          0 |         17 |
| C&CPP\contest\nowcoder\20231124                                                                |          2 |         35 |         37 |          1 |         73 |
| C&CPP\contest\nowcoder\NewbieMonthlyContest                                                    |          2 |         41 |          0 |          1 |         42 |
| C&CPP\contest\nowcoder\NewbieMonthlyContest\20231201                                           |          2 |         41 |          0 |          1 |         42 |
| C&CPP\include                                                                                  |          8 |        324 |          0 |         30 |        354 |
| C&CPP\luogu                                                                                    |        401 |     11,474 |      3,079 |        278 |     14,831 |
| C&CPP\luogu\2023                                                                               |        142 |      3,420 |      1,067 |        210 |      4,697 |
| C&CPP\luogu\2023\202310                                                                        |         29 |        670 |        276 |         83 |      1,029 |
| C&CPP\luogu\2023\202311                                                                        |         82 |      1,977 |        619 |        102 |      2,698 |
| C&CPP\luogu\2023\202311\week1                                                                  |         39 |        874 |        194 |         18 |      1,086 |
| C&CPP\luogu\2023\202311\week2                                                                  |          9 |        230 |         47 |         29 |        306 |
| C&CPP\luogu\2023\202311\week3                                                                  |         26 |        646 |        313 |         51 |      1,010 |
| C&CPP\luogu\2023\202311\week4                                                                  |          8 |        227 |         65 |          4 |        296 |
| C&CPP\luogu\2023\202312                                                                        |         31 |        773 |        172 |         25 |        970 |
| C&CPP\luogu\2023\202312\week1                                                                  |         15 |        402 |         20 |          9 |        431 |
| C&CPP\luogu\2023\202312\week2                                                                  |          2 |         30 |         54 |         15 |         99 |
| C&CPP\luogu\2023\202312\week3                                                                  |         14 |        341 |         98 |          1 |        440 |
| C&CPP\luogu\2024                                                                               |        244 |      7,581 |      1,882 |         58 |      9,521 |
| C&CPP\luogu\2024\202401                                                                        |         33 |      1,094 |         79 |          7 |      1,180 |
| C&CPP\luogu\2024\202402                                                                        |         78 |      2,550 |        880 |         14 |      3,444 |
